name,country,user,purpose,orbit,longitude,perigee,apogee,eccentricity,inclination,period,mass,date,launchSite,launchVehicle
1HOPSAT,USA,Commercial,Earth Observation,LEO,0.00,566,576,7.20E-04,36.90,96.08,22,12/11/2019,Satish Dhawan Space Centre,PSLV
3Cat-1,Spain,Civil,Technology Development,LEO,0.00,476,500,1.75E-03,97.40,95,4,11/29/2018,Satish Dhawan Space Centre,PSLV
Aalto-1,Finland,Civil,Technology Development,LEO,0.00,497,517,1.45E-03,97.45,94.7,5,6/23/2017,Satish Dhawan Space Centre,PSLV
AAUSat-4,Denmark,Civil,Earth Observation,LEO,0.00,442,687,1.77E-02,98.20,95.9,1,4/25/2016,Guiana Space Center,Soyuz 2.1a
ABS-2,Multinational,Commercial,Communications,GEO,75.00,35778,35793,1.78E-04,0.08,1436.03,6330,2/6/2014,Guiana Space Center,Ariane 5 ECA
ABS-2A,Multinational,Commercial,Communications,GEO,-75.00,35700,35700,0.00E+00,0.00,1436.1,1800,6/15/2016,Cape Canaveral,Falcon 9
ABS-3A,Multinational,Commercial,Communications,GEO,-3.00,35788,35803,1.78E-04,0.10,1436,2000,3/2/2015,Cape Canaveral,Falcon 9
ABS-4,Multinational,Commercial,Communications,GEO,75.00,35780,35793,1.54E-04,0.01,1436.1,4143,3/13/2004,Cape Canaveral,Atlas 3
ABS-6,Multinational,Commercial,Communications,GEO,159.00,35777,35794,2.02E-04,0.01,1436.08,2894,9/26/1999,Baikonur Cosmodrome,Proton
ABS-7,Multinational,Commercial,Communications,GEO,116.18,35780,35791,1.30E-04,0.01,1436.06,3500,9/4/1999,Guiana Space Center,Ariane
USA 139,USA,Military,Earth Observation,GEO,-26.00,35560,36013,5.37E-03,7.72,1436.14,4500,5/9/1998,Cape Canaveral,Titan IVA
USA 171,USA,Military,Earth Observation,GEO,95.40,35589,35984,4.68E-03,3.20,1436.1,4500,9/9/2003,Cape Canaveral,Titan IV
USA 202,USA,Military,Earth Observation,GEO,44.00,35714,35937,2.64E-03,2.89,1438.8,5000,1/18/2009,Cape Canaveral,Delta 4 Heavy
USA 223,USA,Military,Earth Observation,GEO,100.90,35500,35500,0.00E+00,0.00,1436,5000,11/21/2010,Cape Canaveral,Delta 4 Heavy
USA 237,USA,Military,Earth Observation,GEO,60.00,35771,35805,4.03E-04,0.00,1436.1,5000,6/29/2012,Cape Canaveral,Delta 4 Heavy
USA 268,USA,Military,Earth Observation,GEO,102.60,35613,35903,3.44E-03,7.51,1437.19,5000,6/11/2016,Cape Canaveral,Delta 4 Heavy
USA 235,USA,Military,Communications,GEO,-120.00,35772,35801,3.44E-04,2.34,1436.1,6169,5/3/2012,Cape Canaveral,Atlas 5
USA 246,USA,Military,Communications,GEO,152.10,35700,35803,1.22E-03,4.20,1436.1,6169,9/18/2013,Cape Canaveral,Atlas 5
USA 288,USA,Military,Communications,GEO,150.20,35781,35790,1.07E-04,0.05,1436.1,6169,10/17/2018,Cape Canaveral,Atlas 5
USA 292,USA,Military,Communications,GEO,-94.39,35780,35810,3.56E-04,6.40,1436.2,6169,8/8/2019,Cape Canaveral,Atlas 5
USA 298,USA,Military,Communications,GEO,0.00,35780,35780,0.00E+00,0.00,1436,6169,3/26/2020,Cape Canaveral,Atlas 5
Aeneas,USA,Government,Technology Development,LEO,0.00,480,790,2.21E-02,0.02,97.4,3,9/13/2012,Vandenberg AFB,Atlas 5
Aeolus,ESA,Government,Earth Observation,LEO,0.00,314,317,2.24E-04,96.70,92.4,1367,8/22/2018,Guiana Space Center,Vega
Aerocube 10A,USA,Commercial,Technology Development,LEO,0.00,469,481,8.77E-04,51.60,94.15,2,8/9/2019,Cygnus,Nanorack Deployer
Aerocube 10B,USA,Commercial,Technology Development,LEO,0.00,471,483,8.76E-04,51.60,94.15,2,8/9/2019,Cygnus,Nanorack Deployer
Aerocube 11A,USA,Commercial,Technology Development,LEO,0.00,495,511,1.16E-03,85.03,94.6,4,12/17/2018,Rocket Lab Launch Complex 1,Electron
Aerocube 11B,USA,Commercial,Technology Development,LEO,0.00,492,511,1.38E-03,85.30,94.6,4,12/17/2018,Rocket Lab Launch Complex 1,Electron
Aerocube 12A,USA,Commercial,Technology Development,LEO,0.00,481,487,4.38E-04,51.60,94.2,4,7/16/2018,Cygnus,Nanorack Deployer
Aerocube 12B,USA,Commercial,Technology Development,LEO,0.00,481,487,4.38E-04,51.60,94.2,4,7/16/2018,Cygnus,Nanorack Deployer
Aerocube 14A,USA,Military,Technology Development,LEO,0.00,459,474,1.10E-03,51.60,93.9,,1/31/2020,Cygnus,Nanorack Deployer
Aerocube 14B,USA,Military,Technology Development,LEO,0.00,459,474,1.10E-03,51.60,93.9,,1/31/2020,Cygnus,Nanorack Deployer
Aerocube 15A,USA,Military,Technology Development,LEO,0.00,458,474,1.17E-03,51.60,93.9,,1/31/2020,Cygnus,Nanorack Deployer
Aerocube 5C,USA,Commercial,Technology Development,LEO,0.00,500,802,2.15E-02,64.78,97.74,2,10/8/2015,Vandenberg AFB,Atlas 5
Aerocube 6A,USA,Commercial,Technology Development,LEO,0.00,614,700,6.12E-03,97.98,97.88,5,6/19/2014,Dombarovsky Air Base,Dnepr
Aerocube 6B,USA,Commercial,Technology Development,LEO,0.00,614,700,6.12E-03,97.98,97.88,5,6/19/2014,Dombarovsky Air Base,Dnepr
